epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,27.659,1.49778,2.9749,1.35658,0.76672,0.796,0.83894,0.67045,0.8734,0.90306,0.96335,0.0685417,0.0016557,0.0016557
2,52.9898,0.97331,0.82018,0.98202,0.92752,0.89533,0.94921,0.74929,0.88145,0.75308,0.95398,0.036864,0.0033114,0.0033114
3,76.588,0.96834,0.75719,0.98105,0.94507,0.89505,0.93794,0.74477,0.89408,0.77737,0.97623,0.00517541,0.00495611,0.00495611
4,98.449,0.96266,0.71855,0.98478,0.94929,0.92383,0.95433,0.76026,0.87255,0.69215,0.9956,0.0049505,0.0049505,0.0049505
5,120.685,0.94152,0.69734,0.97985,0.95592,0.94554,0.95996,0.7666,0.84151,0.66497,0.99506,0.004934,0.004934,0.004934
6,145.26,0.92214,0.66168,0.97262,0.85855,0.94381,0.9538,0.78221,0.82258,0.60237,0.97174,0.0049175,0.0049175,0.0049175
7,167.61,0.91652,0.6487,0.97509,0.9488,0.91655,0.96437,0.78507,0.82095,0.61909,0.96943,0.004901,0.004901,0.004901
8,190.5,0.88772,0.62825,0.95224,0.94425,0.9355,0.96757,0.79069,0.8139,0.63,0.9354,0.0048845,0.0048845,0.0048845
9,213.066,0.87137,0.62069,0.94326,0.96265,0.95949,0.96886,0.80169,0.79474,0.57905,0.93155,0.004868,0.004868,0.004868
10,237.336,0.87016,0.6104,0.9466,0.96776,0.93285,0.9722,0.80134,0.7959,0.55144,0.93005,0.0048515,0.0048515,0.0048515
11,259.149,0.85404,0.58832,0.94313,0.94578,0.95036,0.96001,0.78664,0.80092,0.56252,0.92687,0.004835,0.004835,0.004835
12,281.155,0.84847,0.58925,0.93396,0.96846,0.93155,0.96616,0.81455,0.75749,0.54641,0.9265,0.0048185,0.0048185,0.0048185
13,303.514,0.82439,0.55525,0.92973,0.9602,0.94263,0.97636,0.8021,0.79018,0.5361,0.89777,0.004802,0.004802,0.004802
14,328.201,0.82994,0.55536,0.91973,0.95827,0.94539,0.96621,0.81537,0.76974,0.53984,0.89949,0.0047855,0.0047855,0.0047855
15,350.64,0.82155,0.54555,0.91968,0.93891,0.95495,0.96257,0.7992,0.81454,0.52943,0.90293,0.004769,0.004769,0.004769
16,372.898,0.80895,0.5362,0.91449,0.98326,0.94237,0.9704,0.81503,0.74769,0.49304,0.89415,0.0047525,0.0047525,0.0047525
17,395.48,0.80962,0.53336,0.91814,0.93318,0.96454,0.97171,0.81529,0.72757,0.49079,0.88442,0.004736,0.004736,0.004736
18,419.988,0.79421,0.5315,0.91039,0.97181,0.96704,0.97877,0.81407,0.76124,0.48974,0.87896,0.0047195,0.0047195,0.0047195
19,442.584,0.79065,0.51797,0.91026,0.98608,0.96061,0.97889,0.81572,0.71958,0.48301,0.88425,0.004703,0.004703,0.004703
20,464.984,0.79709,0.52527,0.91401,0.95557,0.92787,0.96399,0.79651,0.7967,0.53525,0.88822,0.0046865,0.0046865,0.0046865
21,486.974,0.78398,0.50855,0.9071,0.95227,0.92503,0.95923,0.8079,0.73358,0.52672,0.87523,0.00467,0.00467,0.00467
22,511.276,0.78335,0.50247,0.9085,0.9682,0.93723,0.97137,0.8177,0.76972,0.503,0.89584,0.0046535,0.0046535,0.0046535
23,533.823,0.78039,0.50576,0.9106,0.97575,0.97214,0.97791,0.81204,0.74451,0.47444,0.89459,0.004637,0.004637,0.004637
24,555.915,0.76886,0.50239,0.90916,0.97511,0.95838,0.96902,0.82477,0.70221,0.46408,0.87052,0.0046205,0.0046205,0.0046205
25,578.501,0.76593,0.49115,0.90116,0.97631,0.96088,0.96939,0.82251,0.73461,0.47614,0.88382,0.004604,0.004604,0.004604
26,603.168,0.77131,0.48982,0.89897,0.97595,0.94981,0.97364,0.82706,0.74183,0.47292,0.88198,0.0045875,0.0045875,0.0045875
27,625.173,0.75298,0.47696,0.8975,0.98079,0.94386,0.96996,0.82509,0.71517,0.44626,0.87468,0.004571,0.004571,0.004571
28,647.104,0.7581,0.47512,0.90358,0.97638,0.96187,0.97269,0.83044,0.73,0.46093,0.88336,0.0045545,0.0045545,0.0045545
29,669.497,0.75678,0.46824,0.90056,0.95426,0.91764,0.96679,0.82155,0.71483,0.47297,0.87515,0.004538,0.004538,0.004538
30,693.676,0.74328,0.46408,0.89519,0.95232,0.9599,0.97148,0.82128,0.7274,0.4634,0.8722,0.0045215,0.0045215,0.0045215
31,716.099,0.74526,0.46507,0.8929,0.98678,0.94605,0.97426,0.82933,0.70022,0.43738,0.87088,0.004505,0.004505,0.004505
32,738.621,0.73587,0.46117,0.89686,0.9884,0.95477,0.97651,0.83526,0.70363,0.42879,0.87632,0.0044885,0.0044885,0.0044885
33,760.299,0.73934,0.46097,0.89105,0.96427,0.95037,0.96927,0.82284,0.7433,0.44812,0.88025,0.004472,0.004472,0.004472
34,784.493,0.73397,0.45775,0.8942,0.9481,0.96736,0.9666,0.8318,0.69887,0.43711,0.88315,0.0044555,0.0044555,0.0044555
35,806.571,0.72168,0.45273,0.88899,0.97051,0.96193,0.97163,0.82796,0.71327,0.43579,0.869,0.004439,0.004439,0.004439
36,828.835,0.72091,0.44377,0.88964,0.94429,0.92848,0.95504,0.81257,0.73482,0.44785,0.87171,0.0044225,0.0044225,0.0044225
37,851.374,0.72128,0.44213,0.88906,0.98674,0.9567,0.98013,0.83566,0.69948,0.42521,0.86211,0.004406,0.004406,0.004406
38,875.992,0.70938,0.43934,0.88557,0.98121,0.95678,0.9686,0.81237,0.76388,0.43963,0.87614,0.0043895,0.0043895,0.0043895
39,898.395,0.69191,0.43397,0.88408,0.96956,0.95901,0.96844,0.82741,0.71189,0.42709,0.87641,0.004373,0.004373,0.004373
40,920.196,0.71458,0.43341,0.8841,0.97612,0.95997,0.97117,0.83453,0.70965,0.42992,0.86689,0.0043565,0.0043565,0.0043565
41,942.871,0.70711,0.43584,0.88064,0.96972,0.94892,0.96911,0.82781,0.70287,0.43137,0.86775,0.00434,0.00434,0.00434
42,967.339,0.70188,0.43428,0.88417,0.97777,0.90632,0.96379,0.83097,0.69773,0.44517,0.87277,0.0043235,0.0043235,0.0043235
43,989.201,0.69364,0.42252,0.88005,0.96921,0.9621,0.96971,0.82887,0.72627,0.42703,0.88259,0.004307,0.004307,0.004307
44,1011.42,0.69728,0.42301,0.87999,0.96194,0.91563,0.96057,0.82076,0.71301,0.44869,0.8759,0.0042905,0.0042905,0.0042905
45,1033.48,0.69318,0.42272,0.88143,0.9611,0.96579,0.97142,0.83946,0.69537,0.40985,0.86496,0.004274,0.004274,0.004274
46,1057.8,0.68371,0.42099,0.87268,0.96884,0.96461,0.97094,0.83571,0.70756,0.42273,0.87016,0.0042575,0.0042575,0.0042575
47,1080.82,0.67592,0.41636,0.87751,0.9731,0.96622,0.97216,0.83547,0.71046,0.41035,0.87309,0.004241,0.004241,0.004241
