epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,982.688,0.79776,0.4766,0.93398,0.93126,0.90637,0.96528,0.83043,0.69222,0.45237,0.88863,0.008581,0.008581,0.008581
45,1006.41,0.78324,0.47293,0.92862,0.98364,0.93997,0.97302,0.82852,0.72145,0.43299,0.89781,0.008548,0.008548,0.008548
46,1027.65,0.79068,0.47374,0.92771,0.96563,0.96439,0.96763,0.81913,0.73576,0.45238,0.91084,0.008515,0.008515,0.008515
47,1049.03,0.79204,0.46926,0.93372,0.95847,0.95773,0.97124,0.83548,0.71348,0.41631,0.89665,0.008482,0.008482,0.008482
48,1070.94,0.78858,0.46578,0.92891,0.96783,0.93784,0.96025,0.81507,0.738,0.48474,0.91521,0.008449,0.008449,0.008449
49,1093.92,0.78129,0.46983,0.9262,0.97115,0.96383,0.96988,0.82051,0.7587,0.44083,0.90923,0.008416,0.008416,0.008416
50,1114.84,0.78385,0.4652,0.93006,0.96307,0.9362,0.95948,0.81939,0.72493,0.49131,0.8941,0.008383,0.008383,0.008383
51,1136.08,0.78119,0.4623,0.92519,0.97822,0.96204,0.96849,0.83408,0.70515,0.41558,0.89609,0.00835,0.00835,0.00835
52,1159.14,0.78824,0.46394,0.93037,0.96016,0.92887,0.96468,0.82232,0.76064,0.47736,0.90844,0.008317,0.008317,0.008317
53,1180.08,0.77573,0.45763,0.92551,0.98099,0.95162,0.9681,0.83867,0.69758,0.42853,0.89421,0.008284,0.008284,0.008284
54,1201.15,0.771,0.4605,0.92587,0.9761,0.95019,0.96836,0.83709,0.7163,0.41423,0.9007,0.008251,0.008251,0.008251
55,1221.36,0.76542,0.45851,0.92143,0.96226,0.95532,0.96828,0.82756,0.71156,0.42208,0.89644,0.008218,0.008218,0.008218
56,1243.8,0.76412,0.44991,0.92265,0.93877,0.94048,0.95721,0.82938,0.70708,0.43429,0.90126,0.008185,0.008185,0.008185
57,1264.14,0.75851,0.45093,0.92149,0.98601,0.96473,0.97381,0.84781,0.68103,0.40566,0.89177,0.008152,0.008152,0.008152
58,1285.75,0.74973,0.43987,0.91948,0.97652,0.96303,0.97278,0.8271,0.72969,0.39647,0.90371,0.008119,0.008119,0.008119
59,1309.89,0.76567,0.44698,0.92359,0.97911,0.93971,0.96693,0.83534,0.68989,0.41007,0.88771,0.008086,0.008086,0.008086
60,1366.9,0.76003,0.43954,0.92327,0.94349,0.91565,0.96055,0.81588,0.72613,0.44577,0.90299,0.008053,0.008053,0.008053
61,1394.26,0.74938,0.43492,0.91961,0.97441,0.90719,0.96429,0.8246,0.72823,0.45475,0.89342,0.00802,0.00802,0.00802
62,1418.33,0.7425,0.43339,0.91522,0.97149,0.93391,0.9745,0.83859,0.73843,0.43222,0.89959,0.007987,0.007987,0.007987
63,1438.88,0.74908,0.43327,0.9194,0.93801,0.93135,0.96286,0.83074,0.69389,0.44829,0.89932,0.007954,0.007954,0.007954
64,1460.77,0.74814,0.43489,0.92049,0.97421,0.95818,0.96918,0.83482,0.70791,0.40118,0.89231,0.007921,0.007921,0.007921
65,1484.12,0.73671,0.43191,0.91258,0.9795,0.96335,0.97242,0.83593,0.72312,0.40117,0.89805,0.007888,0.007888,0.007888
66,1506.08,0.73989,0.42745,0.91577,0.95537,0.93931,0.97067,0.83657,0.72901,0.42477,0.92309,0.007855,0.007855,0.007855
67,1528.97,0.73769,0.43052,0.91558,0.98347,0.95404,0.97021,0.84023,0.70441,0.38533,0.89574,0.007822,0.007822,0.007822
