epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,1992.26,0.41781,0.21965,0.80983,0.97067,0.95888,0.97817,0.87222,0.55533,0.25047,0.83684,0.0005294,0.0005294,0.0005294
43,2039.59,0.41377,0.21974,0.80821,0.97168,0.95492,0.97959,0.87836,0.55489,0.25021,0.83818,0.0005228,0.0005228,0.0005228
44,2085.63,0.41025,0.21787,0.80853,0.97342,0.95794,0.97932,0.87279,0.55559,0.24899,0.83715,0.0005162,0.0005162,0.0005162
45,2133.36,0.41108,0.21931,0.8085,0.97478,0.95771,0.98365,0.87344,0.56255,0.2505,0.83813,0.0005096,0.0005096,0.0005096
46,2178.33,0.40217,0.21448,0.80585,0.97397,0.95819,0.98124,0.87405,0.55625,0.2453,0.8385,0.000503,0.000503,0.000503
47,2227.37,0.40162,0.21426,0.80596,0.97776,0.95739,0.98197,0.87699,0.56184,0.24638,0.83958,0.0004964,0.0004964,0.0004964
48,2273.56,0.39422,0.20931,0.80478,0.9762,0.95766,0.9797,0.87429,0.55757,0.24604,0.83773,0.0004898,0.0004898,0.0004898
49,2318.76,0.39382,0.21041,0.80477,0.97015,0.95488,0.97998,0.87476,0.56356,0.24755,0.83956,0.0004832,0.0004832,0.0004832
50,2365.84,0.39032,0.20822,0.80378,0.97164,0.95806,0.98044,0.87511,0.56085,0.24472,0.84007,0.0004766,0.0004766,0.0004766
51,2411.83,0.38721,0.20628,0.80435,0.96605,0.96877,0.9852,0.87541,0.55967,0.24401,0.83851,0.00047,0.00047,0.00047
52,2461.33,0.38838,0.20756,0.80257,0.97366,0.95986,0.98437,0.87634,0.56086,0.245,0.84038,0.0004634,0.0004634,0.0004634
53,2507.08,0.38152,0.20468,0.8022,0.9762,0.9566,0.98019,0.87563,0.55709,0.24321,0.84032,0.0004568,0.0004568,0.0004568
54,2555.26,0.37903,0.2041,0.801,0.96873,0.96281,0.98188,0.8767,0.56086,0.24652,0.84059,0.0004502,0.0004502,0.0004502
55,2600.58,0.3767,0.20387,0.80078,0.9725,0.95694,0.9805,0.87389,0.56065,0.24539,0.83902,0.0004436,0.0004436,0.0004436
56,2647.1,0.37106,0.19967,0.79979,0.9741,0.95862,0.97991,0.87449,0.55938,0.24606,0.84021,0.000437,0.000437,0.000437
57,2694.9,0.36823,0.19985,0.79923,0.9753,0.96008,0.98019,0.87767,0.56098,0.24165,0.83991,0.0004304,0.0004304,0.0004304
58,2740.49,0.3668,0.19895,0.80032,0.9788,0.95626,0.98169,0.87581,0.56354,0.24466,0.84258,0.0004238,0.0004238,0.0004238
