epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,52.902,0.83738,0.54189,0.92949,0.95539,0.92902,0.96484,0.80213,0.70737,0.38832,0.87918,0.0670807,0.000332518,0.000332518
2,101.642,0.70288,0.43642,0.88074,0.94775,0.94087,0.96449,0.82156,0.6491,0.3514,0.86714,0.0340477,0.000632892,0.000632892
3,148.373,0.67569,0.40395,0.87531,0.92518,0.95105,0.96974,0.82604,0.63344,0.343,0.86313,0.000981765,0.000900266,0.000900266
4,195.087,0.64819,0.38049,0.86717,0.95706,0.94249,0.9688,0.83798,0.6147,0.3289,0.85724,0.0008515,0.0008515,0.0008515
5,240.501,0.63088,0.3653,0.86527,0.94879,0.94711,0.97454,0.84164,0.61487,0.31572,0.85672,0.000802,0.000802,0.000802
6,286.093,0.61858,0.35317,0.86236,0.93595,0.94449,0.96831,0.83837,0.61773,0.3186,0.86107,0.0007525,0.0007525,0.0007525
7,329.566,0.60534,0.34012,0.85613,0.94661,0.95094,0.97504,0.84485,0.61386,0.31071,0.8565,0.000703,0.000703,0.000703
8,376.149,0.59685,0.33125,0.85495,0.95528,0.95404,0.97789,0.85452,0.59983,0.30357,0.85163,0.0006535,0.0006535,0.0006535
9,419.842,0.58594,0.32221,0.85172,0.96449,0.95018,0.97192,0.85448,0.60011,0.29596,0.85194,0.000604,0.000604,0.000604
10,465.381,0.58115,0.31733,0.85007,0.97248,0.94971,0.97322,0.86042,0.58993,0.29638,0.84831,0.0005545,0.0005545,0.0005545
11,509.764,0.55997,0.3004,0.84532,0.97312,0.94675,0.97325,0.85627,0.59649,0.29689,0.8516,0.000505,0.000505,0.000505
12,555.656,0.55463,0.29514,0.84477,0.96096,0.95382,0.97691,0.85629,0.59365,0.28909,0.85031,0.0004555,0.0004555,0.0004555
13,600.203,0.54633,0.28782,0.84153,0.97471,0.9495,0.97525,0.86297,0.58743,0.28238,0.84911,0.000406,0.000406,0.000406
14,642.942,0.53797,0.28186,0.839,0.97281,0.94806,0.97556,0.86292,0.58995,0.2854,0.84893,0.0003565,0.0003565,0.0003565
15,688.045,0.53209,0.27561,0.83854,0.97478,0.95338,0.97908,0.8633,0.58563,0.27925,0.84774,0.000307,0.000307,0.000307
16,731.942,0.52316,0.27182,0.83586,0.97637,0.94249,0.97728,0.86829,0.58333,0.27834,0.84667,0.0002575,0.0002575,0.0002575
17,777.654,0.51822,0.26717,0.83351,0.97157,0.9517,0.9766,0.86509,0.58188,0.27567,0.84616,0.000208,0.000208,0.000208
18,822.695,0.51148,0.26093,0.83238,0.97158,0.95117,0.97779,0.86717,0.58127,0.26938,0.84662,0.0001585,0.0001585,0.0001585
19,865.97,0.50487,0.25707,0.832,0.97578,0.95083,0.9778,0.86794,0.58128,0.26812,0.84614,0.000109,0.000109,0.000109
20,910.812,0.49938,0.2527,0.83017,0.97213,0.95023,0.97763,0.86701,0.57951,0.26705,0.84601,5.95e-05,5.95e-05,5.95e-05
