epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,2363.56,0.73301,0.44104,0.90788,0.99211,0.96923,0.97686,0.8362,0.67155,0.34063,0.86684,0.007921,0.007921,0.007921
44,2418.1,0.72994,0.43608,0.90436,0.984,0.96824,0.98057,0.84363,0.69311,0.35171,0.86787,0.0078715,0.0078715,0.0078715
45,2470.85,0.72009,0.42767,0.9011,0.97729,0.97171,0.97638,0.84005,0.69194,0.34413,0.86668,0.007822,0.007822,0.007822
46,2523.55,0.71666,0.43119,0.9027,0.97039,0.97216,0.97519,0.84529,0.68177,0.34174,0.86672,0.0077725,0.0077725,0.0077725
47,2577.75,0.72237,0.43318,0.90626,0.98731,0.96483,0.97498,0.83615,0.69212,0.34165,0.86922,0.007723,0.007723,0.007723
48,2630.75,0.7112,0.42694,0.90191,0.97526,0.97281,0.97908,0.84513,0.68603,0.34471,0.86709,0.0076735,0.0076735,0.0076735
49,2683.31,0.70736,0.42534,0.90253,0.98211,0.96695,0.97648,0.84152,0.68824,0.33591,0.86531,0.007624,0.007624,0.007624
50,2735.52,0.70879,0.42394,0.90213,0.97871,0.97023,0.97764,0.8428,0.69685,0.34209,0.86827,0.0075745,0.0075745,0.0075745
51,2790.07,0.70167,0.42068,0.89969,0.96585,0.97322,0.97568,0.84247,0.68739,0.34604,0.86827,0.007525,0.007525,0.007525
52,2842.32,0.69367,0.41663,0.89568,0.9803,0.96608,0.97758,0.84347,0.68306,0.34027,0.86855,0.0074755,0.0074755,0.0074755
53,2895.22,0.69416,0.41422,0.89755,0.97811,0.96437,0.9765,0.84697,0.68018,0.33731,0.86387,0.007426,0.007426,0.007426
54,2949.04,0.69804,0.41712,0.89561,0.96968,0.96711,0.97661,0.84864,0.668,0.33765,0.86265,0.0073765,0.0073765,0.0073765
55,3001.75,0.68428,0.41078,0.89525,0.96387,0.96801,0.97628,0.84538,0.68197,0.33822,0.87194,0.007327,0.007327,0.007327
56,3054.72,0.68178,0.40851,0.89484,0.96361,0.96885,0.97658,0.84844,0.66834,0.32716,0.86564,0.0072775,0.0072775,0.0072775
57,3107.89,0.67403,0.40597,0.89162,0.96343,0.96915,0.97631,0.8411,0.69091,0.33445,0.87008,0.007228,0.007228,0.007228
58,3162.3,0.6792,0.40513,0.89243,0.96198,0.97056,0.97815,0.84994,0.67716,0.33355,0.86304,0.0071785,0.0071785,0.0071785
59,3215.82,0.67364,0.40245,0.8922,0.9781,0.96384,0.97857,0.84663,0.68946,0.33412,0.86964,0.007129,0.007129,0.007129
60,3269,0.66289,0.39719,0.89037,0.97361,0.96433,0.97847,0.8423,0.69576,0.33109,0.86727,0.0070795,0.0070795,0.0070795
61,3322.95,0.66115,0.39611,0.88741,0.96345,0.96927,0.97762,0.84527,0.68783,0.33088,0.86722,0.00703,0.00703,0.00703
62,3376.32,0.65198,0.39044,0.88687,0.98667,0.96079,0.97949,0.84374,0.67801,0.31941,0.86793,0.0069805,0.0069805,0.0069805
63,3430.16,0.65126,0.39101,0.88568,0.96398,0.95476,0.97591,0.8426,0.69471,0.33271,0.87156,0.006931,0.006931,0.006931
64,3483,0.65037,0.3915,0.8843,0.98392,0.96272,0.97932,0.84734,0.70079,0.32094,0.8721,0.0068815,0.0068815,0.0068815
65,3537.37,0.64517,0.38943,0.88391,0.98602,0.95975,0.97943,0.84545,0.68845,0.3225,0.86857,0.006832,0.006832,0.006832
66,3590.47,0.64333,0.38227,0.88271,0.9837,0.97289,0.97888,0.84774,0.69551,0.3157,0.87165,0.0067825,0.0067825,0.0067825
67,3643.22,0.64036,0.38621,0.88262,0.97575,0.94839,0.97817,0.84368,0.68216,0.32074,0.86753,0.006733,0.006733,0.006733
68,3699.65,0.63905,0.37993,0.88267,0.96037,0.97249,0.97838,0.83987,0.69392,0.31607,0.87276,0.0066835,0.0066835,0.0066835
69,3756.96,0.63292,0.3819,0.88211,0.99051,0.96456,0.98306,0.84451,0.68762,0.31224,0.86955,0.006634,0.006634,0.006634
70,3812.67,0.62472,0.37371,0.87893,0.98659,0.96236,0.98117,0.85268,0.68728,0.31517,0.87126,0.0065845,0.0065845,0.0065845
71,3868.22,0.6184,0.37072,0.87731,0.98919,0.9651,0.97961,0.84878,0.68807,0.31238,0.8679,0.006535,0.006535,0.006535
72,3924.43,0.62292,0.37389,0.88109,0.98923,0.96998,0.97879,0.84872,0.67858,0.31235,0.86709,0.0064855,0.0064855,0.0064855
73,3980.66,0.61163,0.36731,0.87874,0.98744,0.95519,0.97892,0.84492,0.69037,0.31583,0.86786,0.006436,0.006436,0.006436
74,4035.12,0.61127,0.36802,0.87697,0.97985,0.96147,0.9784,0.85159,0.6721,0.31102,0.86272,0.0063865,0.0063865,0.0063865
75,4087.72,0.60715,0.36686,0.87631,0.98227,0.96084,0.97859,0.84757,0.67926,0.3142,0.86669,0.006337,0.006337,0.006337
76,4140.33,0.60462,0.36532,0.87608,0.97243,0.97084,0.97883,0.84758,0.685,0.31203,0.87023,0.0062875,0.0062875,0.0062875
77,4193.17,0.6048,0.36519,0.87446,0.97468,0.96853,0.97737,0.84003,0.68882,0.3108,0.86977,0.006238,0.006238,0.006238
78,4247.02,0.59886,0.36118,0.87254,0.97194,0.97159,0.98113,0.84711,0.68966,0.30986,0.86913,0.0061885,0.0061885,0.0061885
79,4298.84,0.59177,0.3578,0.87304,0.97242,0.97253,0.98109,0.84725,0.69339,0.30578,0.86885,0.006139,0.006139,0.006139
80,4350.81,0.59523,0.35895,0.87155,0.98367,0.97159,0.98094,0.84952,0.68933,0.30966,0.86856,0.0060895,0.0060895,0.0060895
81,4404.72,0.59407,0.35986,0.87359,0.98207,0.96898,0.97958,0.8469,0.69547,0.3118,0.86929,0.00604,0.00604,0.00604
82,4457.26,0.58754,0.35302,0.87105,0.97714,0.97207,0.98018,0.84374,0.69814,0.30945,0.87027,0.0059905,0.0059905,0.0059905
83,4509.83,0.57741,0.34805,0.86931,0.97895,0.97181,0.97948,0.84665,0.69474,0.31047,0.86986,0.005941,0.005941,0.005941
84,4563.41,0.5799,0.35045,0.87002,0.99158,0.96604,0.97985,0.84572,0.69388,0.31172,0.86893,0.0058915,0.0058915,0.0058915
85,4616.29,0.57731,0.34935,0.86933,0.98364,0.96266,0.97947,0.84555,0.68798,0.31013,0.86621,0.005842,0.005842,0.005842
86,4668.79,0.5807,0.35025,0.87,0.98035,0.96696,0.97879,0.84567,0.68785,0.31221,0.86769,0.0057925,0.0057925,0.0057925
87,4721.06,0.57299,0.34348,0.86722,0.98167,0.96946,0.97882,0.84173,0.68867,0.31156,0.8689,0.005743,0.005743,0.005743
88,4775.14,0.57107,0.34646,0.86732,0.98421,0.96766,0.97868,0.84821,0.68613,0.30857,0.8691,0.0056935,0.0056935,0.0056935
89,4828.54,0.56978,0.34412,0.86783,0.97757,0.97212,0.97859,0.84923,0.69086,0.3061,0.87,0.005644,0.005644,0.005644
90,4881.2,0.56524,0.34117,0.86562,0.97933,0.97069,0.97836,0.84714,0.69175,0.30523,0.87012,0.0055945,0.0055945,0.0055945
91,4934.93,0.56957,0.3435,0.8683,0.97781,0.97291,0.97909,0.84536,0.68993,0.30511,0.86892,0.005545,0.005545,0.005545
92,4987.38,0.56295,0.34139,0.8641,0.97524,0.97303,0.97897,0.84584,0.69241,0.30396,0.87078,0.0054955,0.0054955,0.0054955
93,5039.63,0.55946,0.3384,0.86336,0.98811,0.96177,0.97952,0.84917,0.68984,0.30289,0.86995,0.005446,0.005446,0.005446
94,5091.83,0.55473,0.33647,0.86396,0.98791,0.97115,0.97965,0.84884,0.69022,0.30542,0.87039,0.0053965,0.0053965,0.0053965
95,5145.72,0.54955,0.33548,0.86403,0.98761,0.97409,0.97883,0.84532,0.69187,0.30317,0.86869,0.005347,0.005347,0.005347
