epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,832.401,0.80727,0.47439,0.89694,0.96328,0.95927,0.97144,0.83662,0.68379,0.42689,0.85573,0.000742625,0.000742625,0.000742625
43,851.127,0.7924,0.46695,0.89842,0.96871,0.94294,0.96266,0.84007,0.67167,0.41975,0.85644,0.00073025,0.00073025,0.00073025
44,870.708,0.80353,0.46645,0.89688,0.93894,0.95098,0.96631,0.84504,0.67166,0.44651,0.85009,0.000717875,0.000717875,0.000717875
45,890.209,0.78451,0.46516,0.89478,0.96238,0.95162,0.97085,0.83968,0.69531,0.41961,0.85525,0.0007055,0.0007055,0.0007055
46,909.303,0.77691,0.45484,0.89141,0.98687,0.95154,0.9701,0.81984,0.79272,0.44654,0.87005,0.000693125,0.000693125,0.000693125
47,929.981,0.7617,0.45202,0.89134,0.98697,0.96838,0.98037,0.85613,0.65698,0.40132,0.84876,0.00068075,0.00068075,0.00068075
48,949.759,0.77467,0.45445,0.89361,0.9441,0.9208,0.96392,0.834,0.69141,0.46554,0.85709,0.000668375,0.000668375,0.000668375
49,969.018,0.76362,0.45207,0.88946,0.98651,0.95618,0.98171,0.83817,0.67583,0.39958,0.85816,0.000656,0.000656,0.000656
50,990.267,0.7671,0.44817,0.89144,0.94671,0.89158,0.96558,0.82818,0.68405,0.46801,0.85728,0.000643625,0.000643625,0.000643625
51,1010.25,0.76783,0.4537,0.8918,0.9847,0.94819,0.97177,0.8488,0.71773,0.42506,0.84814,0.00063125,0.00063125,0.00063125
52,1030.1,0.77502,0.44921,0.89266,0.9226,0.92104,0.97035,0.83795,0.67809,0.4634,0.85011,0.000618875,0.000618875,0.000618875
53,1051.14,0.76987,0.44687,0.89103,0.9121,0.93931,0.95843,0.8315,0.68264,0.42141,0.85848,0.0006065,0.0006065,0.0006065
54,1070.6,0.75327,0.43882,0.89063,0.97894,0.95656,0.96696,0.83331,0.68589,0.41765,0.85112,0.000594125,0.000594125,0.000594125
