epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
43,870.541,0.78693,0.39831,0.8995,0.9207,0.86626,0.9263,0.61068,1.38159,0.67596,1.19148,0.004307,0.004307,0.004307
44,891.623,0.76659,0.38981,0.89379,0.92153,0.90931,0.94219,0.61892,1.35704,0.63377,1.18907,0.0042905,0.0042905,0.0042905
45,910.553,0.76255,0.38883,0.88918,0.91512,0.88965,0.93326,0.62016,1.35324,0.64091,1.18837,0.004274,0.004274,0.004274
46,930.596,0.75225,0.38426,0.89284,0.89439,0.88229,0.93092,0.63385,1.31265,0.63212,1.18622,0.0042575,0.0042575,0.0042575
47,949.283,0.74705,0.38259,0.88673,0.87331,0.8759,0.92849,0.62439,1.28655,0.62577,1.17097,0.004241,0.004241,0.004241
48,967.987,0.73282,0.3716,0.88493,0.93523,0.89659,0.9417,0.63098,1.33769,0.65124,1.18574,0.0042245,0.0042245,0.0042245
49,987.892,0.73406,0.37149,0.8862,0.92516,0.87365,0.94092,0.63578,1.35617,0.64875,1.20028,0.004208,0.004208,0.004208
50,1007.03,0.73374,0.3712,0.88266,0.93275,0.87797,0.94186,0.62727,1.33467,0.61011,1.20034,0.0041915,0.0041915,0.0041915
51,1025.1,0.71646,0.36733,0.87951,0.9199,0.88669,0.9474,0.64637,1.31232,0.60718,1.18446,0.004175,0.004175,0.004175
52,1043.19,0.71458,0.36954,0.87587,0.86569,0.9085,0.92973,0.62586,1.36886,0.62221,1.22325,0.0041585,0.0041585,0.0041585
53,1061.72,0.70679,0.36152,0.8734,0.90836,0.9236,0.95294,0.62984,1.32082,0.60907,1.19137,0.004142,0.004142,0.004142
54,1080.31,0.701,0.36177,0.87233,0.90209,0.88207,0.92951,0.61173,1.4042,0.6484,1.23939,0.0041255,0.0041255,0.0041255
